track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded,beta_vae_kmeans_cluster,autoencoder_kmeans_cluster,pca_kmeans_cluster
Aaj Ei Dintake,Kishore Kumar,bn,Bangla Film,Retro Film Melody,1,0,0,12,5
Amar Swapna Tumi Ogo,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Duet,1,0,0,9,3
Ami Chini Go Chini Tomare,Kishore Kumar,bn,Rabindra Sangeet,Tagore Romantic,7,0,8,11,10
Purano Sei Diner,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,6,4,7
Aamar Pujar Phool,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,11,9,0
Se Jeno Aamar Pashe,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,0,0,5
Mone Pore Ruby Roy,R. D. Burman,bn,Adhunik Bangla,Urban Nostalgia,0,0,3,8,3
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,bn,Adhunik Bangla,Urban Nostalgia,0,0,6,7,9
Sei Raate Raat Chhilo Purnima,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,6,8,7
Ei Path Jodi Na Shes Hoy,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Romantic Duet,1,0,13,8,7
Tumi Kon Kananer Phul,Asha Bhosle,bn,Rabindra Sangeet,Tagore Romantic,7,0,3,8,3
Amar Swapna Je Satyi,Kishore Kumar|Lata Mangeshkar,bn,Bangla Film,Romantic Retro,1,0,6,7,9
Nayan Sarasi Keno Bhoreche Jaale,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,8,9,12
Jodi Hoi Chorkanta,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0,8,4,7
Mon-Majhi Re,R. D. Burman,bn,Bangla Folk,Folk-inspired Modern,2,0,0,7,9
Tare Ami Chokhe Dekhini,Kishore Kumar,bn,Adhunik Bangla,Mystical Modern,0,0,3,0,12
Aamar Bhalobasar Rajprasade,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,8,4,7
Aaj Milan Tithir Purnima Chand,Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0,9,4,7
Jakhan Keu Amake Pagol Bale,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0,5,7,9
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,bn,Adhunik Bangla,Urban Nostalgia,0,0,12,7,9
Chokher Jaler Hoyna Kono Rang,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,8,9,0
Chirodini Tumi Je Aamar- Male,Kishore Kumar,bn,Bangla Film,Romantic Film Ballad,1,0,0,7,9
Jani Tomar Premer Jogyo Ami To Noi,Manna Dey,bn,Adhunik Bangla,Melancholic Modern,0,0,11,2,10
Bandhagharer Andhakare,Asha Bhosle|Kishore Kumar,bn,Adhunik Bangla,Philosophical Modern,0,0,9,4,7
O Chand Samle Rakho Jochhnake,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,8,0,5
Na Na Na Kachhe Esona,Asha Bhosle|S. P. Balasubrahmanyam,bn,Bangla Film,Playful Romantic,1,0,8,0,5
Sundari Go Dohai Dohai,Manna Dey,bn,Bangla Film,Playful Folk-Film,1,0,0,9,12
Asha Chhilo Bhalobasa Chhilo,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,8,0,5
Hoyto Amake Karo Mone,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,11,12,5
Mone Porle,Arijit Singh,bn,Adhunik Bangla,Romantic Modern,0,0,0,7,9
Gunjane Dole Je Bhramar,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Duet,1,0,3,8,3
Phulkali Re Phulkali,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Light Romantic,1,0,0,9,12
Keno Re Tui Chorli,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,3,8,3
"Rangini Kato Mon, Mon Dite Chay",Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,6,0,5
Bolchi Tomar Kane Kane- Female,Lata Mangeshkar,bn,Bangla Film,Romantic Solo,1,0,11,7,9
Din Khon Mapa Ache,Arijit Singh,bn,Adhunik Bangla,Romantic Modern,0,0,9,11,10
Lalita Go Oke Aaj Chole Jete Bal Na,Manna Dey,bn,Bangla Film,Emotional Retro,1,0,6,8,7
Prithibi Bodle Gechhe,Kishore Kumar,bn,Adhunik Bangla,Philosophical Modern,0,0,11,2,2
Ek Tanete Jemon Temon,Kishore Kumar|Swapan Chakraborty,bn,Bangla Folk,Folk-inspired Light,2,0,6,9,5
Aaj Theke Aar Bhalobasar,Kishore Kumar,bn,Adhunik Bangla,Breakup Modern,0,0,6,11,5
Hridayer Gaan Shikhe To Gaay Go Sabai,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0,11,4,2
E Gaane Prajapati (Stereo),Sandhya Mukherjee,bn,Bangla Film,Light Romantic,1,0,11,2,10
Chhero Na Chhero Na Haath,Kishore Kumar|Sabina Yasmeen,bn,Bangla Film,Romantic Duet,1,0,9,4,0
Ami Cheye Cheye Dekhi,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,8,12,5
Dole Dodul Dole Jhulana,Manabendra Mukherjee|Shyamal Mitra,bn,Bangla Film,Semi-Classical Film,1,0,13,11,3
Tomay Porechhe Mone,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,9,12,7
Mangaldeep Jwele (Part 1),Lata Mangeshkar|Others,bn,Devotional,Puja Spiritual,5,0,2,7,9
Shono Mon Boli Tomay,R. D. Burman,bn,Adhunik Bangla,Philosophical Modern,0,0,8,4,7
Tora Je Ja Bolish,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Playful,7,0,0,9,12
Chirodini Tumi Je Aamar- Female,Asha Bhosle,bn,Bangla Film,Romantic Film Ballad,1,0,0,7,9
Aamar Swapna Je,Lata Mangeshkar|Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0,6,7,9
Ka Phonta Chokher Jal Phelechho,Manna Dey,bn,Adhunik Bangla,Melancholic Modern,0,0,6,9,12
Katoi Ranga Dekhi Duniyay,Amar Pal,bn,Bangla Film,Comic Satire,1,0,8,2,0
Bhalo Bashi Bhalo Bashi,Amit Kumar|Kavita Krishnamurthy,bn,Rabindra Sangeet,Tagore Romantic,7,0,8,12,0
Sandhya Belay Tumi Ami,Asha Bhosle,bn,Adhunik Bangla,Romantic Modern,0,0,0,9,12
Chole Jete Jete Din,Lata Mangeshkar,bn,Adhunik Bangla,Melancholic Modern,0,0,13,8,3
Bulbul Pakhi Maiana,Antara Chwdhury,bn,Children's Music,Children's Rhyme,4,0,6,4,7
Janmadin,Kishore Kumar,bn,Children's Music,Birthday Song,4,0,8,8,10
Ami Jamini Tumi Shashi Hey,Manna Dey,bn,Bangla Film,Romantic Semi-Classical,1,0,9,12,7
Ami Taar Thikana Rakhini,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,6,4,7
Aar Ki Tomay Chharchhi,Asha Bhosle|R. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0,0,12,5
Bom Bhole,Kishore Kumar,bn,Devotional,Shiva Devotional,5,0,8,9,7
Gahan Megher Chhaya Ghanay,Manna Dey,bn,Adhunik Bangla,Monsoon Modern,0,0,9,8,10
Kato Naree Achhe E Gokule,Asha Bhosle|Kishore Kumar|Tanuja,bn,Bangla Film,Comic Folk-Film,1,0,9,2,0
Karo Keu Naiko Aami,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,3,0,12
Balo Ki Achhe Go,R. D. Burman,bn,Bangla Film,Romantic Duet,1,0,13,11,3
Ami Gaan Shonabo,Hemant Kumar,bn,Adhunik Bangla,Light Modern,0,0,3,12,5
Na Mon Lage Na,Lata Mangeshkar,bn,Bangla Film,Romantic Retro,1,0,3,0,12
Najar Diyo Na,Kishore Kumar,bn,Adhunik Bangla,Playful Modern,0,0,6,11,10
Mon Janala Khule Dena,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,13,4,7
Pora Banshi Shunle E Mon,Asha Bhosle,bn,Adhunik Bangla,Folk-inspired Modern,0,0,13,0,12
Amar Deep Nebhano Raat,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,13,0,5
O Mor Moyna Go,Lata Mangeshkar,bn,Bangla Folk,Folk Song,2,0,13,0,5
Abhimane Chole Jeo Na,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,13,0,12
Prem Baro Madhur,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,11,2,0
Na Na Na Aaj Raate Aar,Manna Dey,bn,Bangla Film,Playful Romantic,1,0,3,8,3
Sedino Akashe Chhilo Kato Tara,Kishore Kumar,bn,Adhunik Bangla,Nostalgic Modern,0,0,6,9,7
Bhuter Raja Dilo Bor,Anup Ghoshal|Rabi Ghosh,bn,Children's Music,Fantasy Film Song,4,0,9,2,10
Naam Amar Kishore Kumar Ganguly,Kishore Kumar,bn,Adhunik Bangla,Tribute Song,0,0,2,7,9
Bhoy Dekhas Na (Male) Voice & Guitars,Arijit Singh,bn,Adhunik Bangla,Acoustic Modern,0,0,9,7,9
Hoyto Tomari Janya,Manna Dey,bn,Bangla Film,Romantic Film Song,1,0,6,12,0
Piya Bholo Abhimaan,Ajoy Chakrabarty,bn,Bangla Film,Romantic Retro,1,0,9,7,9
Ami Nei Ami Nei,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,6,0,5
Shono Mon Boli Tomay,R. D. Burman,bn,Adhunik Bangla,Philosophical Modern,0,0,9,12,10
Hai Hai Ki Herilam,Utpalendu Chowdhury,bn,Bangla Folk,Folk Ballad,2,0,9,12,5
Kolkata Kolkata,Bappi Lahiri,bn,Bangla Film,City Travel,1,0,6,2,10
Gharete Bhramar Elo Gunguniye,Arundhati Holme Chowdhury,bn,Adhunik Bangla,Folk-inspired Modern,0,0,8,9,0
Mor Bhabanare Ki Haoway Matalo,Hemant Kumar,bn,Rabindra Sangeet,Tagore Nature,7,0,13,8,10
Ami Ek Jajabar,Bhupen Hazarika,bn,Adhunik Bangla,Wanderer Song,0,0,8,4,7
Dekhore Nayan Melay,Anup Ghoshal,bn,Bangla Folk,Folk Ballad,2,0,8,4,7
Ek Je Chhilo Raja,Anup Ghoshal|Rabi Ghosh,bn,Children's Music,Story Song,4,0,13,0,12
Ei Meghla Dine Ekla,Hemant Kumar,bn,Adhunik Bangla,Monsoon Modern,0,0,8,9,12
Ami Pathbhola Ek Pathik Esechhi (Duet),Kanika Banerjee|Suchitra Mitra|Hemant Kumar,bn,Bangla Film,Romantic Duet,1,0,8,11,10
Shudhu Bhalobasha Diye,Hemant Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,0,0,5
Deke Deke Kato,R. D. Burman,bn,Bangla Film,Romantic Retro,1,0,13,4,7
Manush Manusher Jannya,Bhupen Hazarika,bn,Bangla Patriotic,Humanist Song,3,0,9,12,5
Aha Ki Ananda,Anup Ghoshal,bn,Children's Music,Fantasy Film Song,4,0,13,4,3
Darjeeling Jatra,R. D. Burman,bn,Children's Music,Travel Comic,4,0,0,12,7
Moner Manush :- (Mon Jakhan Jagli Nare and Milan Habe Kata Dine),Dohar,bn,Bangla Folk,Lalon Baul,2,0,0,7,9
Katha Diye Ele Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,9,7
Amar Shilpi Tumi Kishore Kumar,Kumar Sanu,bn,Bangla Film,Romantic Playback,1,0,2,7,9
Champa Chameli Golaperi Baage,Manna Dey|Sandhya Mukherjee,bn,Bangla Film,Duet Playback,1,0,9,12,0
Nishidin Nishidin,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,3,0,5
Jete Jete Pathe Holo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,9,4,10
Saat Bhai Champa Jagore,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,12,3
Antabihin Kate Na Aar Jeno (Baro Shunya Shunya),Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,11,2,10
Ei Mom Jochhonay Ango Bhijiye,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,9,2,0
Tomar Pujar Chhaley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Devotional,7,0,11,9,0
Tomate Amate Dekha Hoyechhilo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,3,8,3
Jete Jete Pathe Holo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,8,12,7
Ei Sundar Swarnali Sandhaye,Geeta Dutt,bn,Bangla Film,Romantic Playback,1,0,8,4,7
Mayur Aakaash,Bappi Lahiri,bn,Bangla Film,Romantic Playback,1,0,6,8,7
Olir Katha Shune Bakul Hase,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,11,3
Aebar Pujoye Chaaye,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,11,11,9
Jani Na Aaj Je Apon,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,6,4,7
Takhon Tomar Ekush Bachhar,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,13,0,5
Nagor Amar Kancha Peerit,Asha Bhosle|Shailender Singh,bn,Bangla Film,Duet Playback,1,0,9,4,10
Oi Dustu Chokher Mishti Hasi,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0,13,0,5
Mor Bina Othe Kon Sure Baji,Swagatalakshmi Dasgupta,bn,Rabindra Sangeet,Tagore Classic,7,0,2,2,2
Phire Eso Anuradha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,13,12,3
Sajani Go Premer Katha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,8,9,7
Jete Dao Amay Dekona,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,8,3
Jibane Ki Pabo Na,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,6,9,12
Tolo Chhinnabeena,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,6,9,0
Kalo Meyer Payer Tolaaye,Panna Lal Bhattacharjee,bn,Devotional,Shyama Sangeet,5,0,13,11,0
O Amar Sajani Go,Kishore Kumar|Lata Mangeshkar,bn,Bangla Film,Duet Playback,1,0,3,7,9
Chhande Chhande Gaane Gaane,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,11,10
Badhu Kon Alo (Part 1),Arundhati Holme Chowdhury,bn,Rabindra Sangeet,Tagore Nature,7,0,6,7,9
Eshe Hirok Deshe,Anup Ghoshal,bn,Children's Music,Comic Song,4,0,3,8,3
Jana - Gana - Mana - Orchestra,Akashvani Vadya Vrinda,bn,Children's Music,Comic Song,4,0,3,0,5
O Tui Nayan Pakhi Amar Re,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,9,2,10
Aasbo Aar Ekdin Aaj Jai,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,0,5
Chokhe Chokhe Katha Balo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,9,4,3
Phire Eso Anuradha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,0,9,12
Ami Dur Hote Tomarei Dekhechhi,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,9,4,7
Hey Nutan Dekha Dik Aar-Bar,Swagatalakshmi Dasgupta,bn,Rabindra Sangeet,Tagore Classic,7,0,3,0,3
Ek Je Chhilo Maachhi,Antara Chwdhury,bn,Children's Music,Children's Song,4,0,3,0,3
Ami Mon Diye Chi,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,11,7,9
Bidhir Bandhan Katbe Tumi,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,9,12,10
Maharaja Tomarey Shelam,Anup Ghoshal|Rabi Ghosh,bn,Children's Music,Fantasy Song,4,0,8,4,0
Ami Je Jalsaghare (Stereo),Sandhya Mukherjee,bn,Bangla Film,Romantic Playback,1,0,9,11,10
Aamar Eche Korche Bhalo,Bappi Lahiri|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,13,7,9
Balo Ki Achhe Go,R. D. Burman,bn,Bangla Film,Romantic Duet,1,0,13,12,3
Tomari Chalar Pathe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,8,5
Ore Baba Dekho Cheye,Anup Ghoshal,bn,Children's Music,Comic Song,4,0,12,2,2
Keno Kichhu Katha Balo Na,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,4,7
Aayre Chhute Aai,Antara Chwdhury,bn,Children's Music,Comic Song,4,0,3,0,12
Je Khanei Thako Sukhe Thako,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,7,12
Dekhle Kemon Tumi Khel,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,7,9
Aei Gaaneri Shure Shure,Mohammad Aziz,bn,Bangla Film,Romantic Playback,1,0,8,7,9
Phire Elam Dure Giye,Asha Bhosle|R. D. Burman,bn,Bangla Film,Duet Playback,1,0,6,4,7
Pa Ma Ga Re Sa,Lata Mangeshkar,bn,Devotional,Spiritual,5,0,6,2,10
Na Dir Dir Da,Antara Chwdhury,bn,Children's Music,Comic Song,4,0,13,8,3
Swapna Mahale Ajo Nishirate,Bappi Lahiri,bn,Bangla Film,Romantic Playback,1,0,0,9,12
Nadir Paare Uthchhe Dhonya,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,13,7,9
Keu Jane Na Tumi Je Amar,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,2,2,2
Ore Amar Mon,Dwijen Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0,6,9,7
Bujhbe Na Keu Bujhbe Na,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,8,3
Taare Bole Diyo,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,3,8,3
Aami Ekjon Saanto Sishto,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,0,5
Halla Cholechhe Juddhe,Kamu Mukherjee|Jahor Roy,bn,Children's Music,Comic Song,4,0,6,2,12
"O,sona Byang",Antara Chwdhury,bn,Children's Music,Children's Song,4,0,9,11,10
Ki Ashai Bandhi Khelaghar,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,11,2
Chand Aar Shurjo,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,5,2,1
Jana Ajana Pathey Cholechhi,Kishore Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,13,8,10
Aay Aay Chhute Aay,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,3,8,3
Oi Mahasindhur Opar Theke,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,3,8,3
Ei Chhande Chhande Bhara,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0,8,12,0
Dinguli Mor,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,11,2,10
Hridayer Gaan Shikhe To Gaay Go Sabai,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0,0,12,5
Mone Pore Ruby Roy,R. D. Burman,bn,Adhunik Bangla,Urban Nostalgia,0,0,13,8,12
Tumi Jodi Thaktey,Kumar Sanu,bn,Bangla Film,Romantic Playback,1,0,3,8,3
Mor Bhabonare (Duet),Saptarshi|SAHANA BAJPEI,bn,Rabindra Sangeet,Tagore Classic,7,0,5,2,2
Namo Mata Saraswati,Sandhya Mukherjee|Tarun Banerjee|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0,13,7,9
O Prajapati Prajapati,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,8,3
Sagar Sangame,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,9,11,10
Katha Dao Aabar Asbe,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,13,11,3
Tomake Lagche Bhari Chena,Bappi Lahiri|Alka Yagnik,bn,Bangla Film,Duet Playback,1,0,13,7,3
Esho Go Jweley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,3,8,3
Amar Sakal Raser Dhara,Hemant Kumar|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0,3,0,12
"Ore Bondhure, Ore Sathi Re",Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,8,5
Na Bole Esechhi,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,11,9,0
Ja Ja Ja Bhule Ja,Lata Mangeshkar,bn,Bangla Film,Melancholy Playback,1,0,0,9,12
Keno Je Kandao Bare Bare,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,11,9,12
E Ki Chanchalata Jage,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,3,12,3
Moner Janala Dhore Unki Diye,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,8,3
Ogo Moner Duyare Danriye Theko Na,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,11,2,2
Kichhu To Chahini Ami,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,9,12
Ektu Baso Chole Jeo Na,Asha Bhosle,bn,Bangla Film,Melancholy Playback,1,0,0,8,7
Akash Keno Daake,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,2,10
Aakash Bhara,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nature,7,0,13,4,7
Dhoronako Shantrimoshai,Anup Ghoshal,bn,Children's Music,Comic Song,4,0,3,0,5
Aaj Jiban Khunje Pabi,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,3,0,12
Bhoy Dekhas Na (The Agnee Version),Mohan Kannan,bn,Adhunik Bangla,Romantic Modern,0,0,8,7,9
Ami Sahebo Noi Golamo Noi,Hemant Kumar,bn,Bangla Film,Melancholy Playback,1,0,8,4,7
Hayre Pora Banshi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,9,7
Tomader Aasare Aaj,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,2,0
Amar Mon Manne Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,8,3
Gun Gun Kare Mon,Amit Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,9,9,12
Phule Gandha Nei,Asha Bhosle,bn,Bangla Film,Melancholy Playback,1,0,13,9,12
Katha Hoyechhilo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,11,7,2
Ami Dukkhake Sukh Bhebe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,11,0
E Monihar Amay,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,13,9,7
Ek Din Aaro Gelo,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,8,5
Na Ekhoni Noy Jabe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,6,4,7
Tomar Akash Duti Chokhe,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0,6,11,5
Aar Bilamba Noy,Anup Ghoshal,bn,Children's Music,Comic Song,4,0,13,12,5
Tumi Ele Anek Diner Pare,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,9,4,0
Kajol Kajol Chokhe,Geeta Dutt|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0,9,2,10
Tomaar Holo Shuru (db),Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,8,9,12
Phul Phute Jhore Jaay,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,11,12,0
Ele Na Tumi Je,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,9,4,0
Khelbo Holi Rang Debo Na,Asha Bhosle|Kavita Krishnamurthy,bn,Bangla Film,Duet Playback,1,0,13,12,3
Sajani Go Premer Katha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,13,12,5
Ek Din Pakhi Ure Jabe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,4,7
Ek Tanete Jemon Temon,Kishore Kumar|Swapan Chakraborty,bn,Bangla Folk,Folk-inspired Light,2,0,0,9,7
Ek Din Pakhi Ure Jabe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,13,0,5
Emon Madhur Sandhyay,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,7,9
Aamar Bhalobasar Rajprasade,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,13,8,10
Naari Charitra Bejaay Jatil,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,12,5
Bhalobeshe Dekei Dekho Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,8,3
Gaane Bhuban Bhoriye Debe,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,9,4,0
Ei Korechho Bhalo,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,0,5
Baro Asha Kore Esechhi Go,Arundhati Holme Chowdhury|Hemant Kumar,bn,Rabindra Sangeet,Tagore Classic,7,0,0,9,12
Ore Batas Phulshakhate,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0,6,9,7
Kine De Reshmi Churi,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,4,5
Moner Naam Madhumati,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,0,5
Nadir Paare Uthchhe Dhonya,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,8,11,9
Bristi Bristi Bristi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,9,9,7
Guru Bine Bondhu Naai Re Aar,Amar Pal,bn,Bangla Folk,Regional Folk,2,0,0,0,12
Cigarette Naho Tumi Swet-Pari,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,12,5
Charon Dhorite Diyo Go (Female),Arundhati Holme Chowdhury,bn,Rabindra Sangeet,Tagore Classic,7,0,8,0,5
Ke Jabi Aay,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,4,3
Ebar Ami Amar Theke,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,4,7
Tumi Aamar Asha,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,7,9
Chokhe Naame Brishti,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,6,12,10
Ami Premer Pather Pathik,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,2,0
Tarpar Tar Aar Par Nei,Hemant Kumar,bn,Bangla Film,Melancholy Playback,1,0,8,4,7
Aay Khuku Aay (Keta Na Somay),Hemant Kumar|Sravanti Mazumder,bn,Bangla Film,Duet Playback,1,0,13,7,3
Ektuku Chhonwa Lage,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,2,0
