track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded,beta_vae_kmeans_cluster,autoencoder_kmeans_cluster,pca_kmeans_cluster
Danriye Achho Tumi Amar Gaaner O Paare,Sandhya Mukherjee,bn,Bangla Film,Romantic Playback,1,0,9,4,7
Moyna Balo Tumi,Asha Bhosle,bn,Bangla Folk,Regional Folk,2,0,8,0,7
Keu Jane Na Tumi Je Amar,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,0,7,3
Du Chokhe Brishti,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,13,9,3
Emon Ekta Jhinuk Khunje,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0,13,12,3
Thuilam Re Mon Padmapatay,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,11,3
Jana Gana Mana - Military Band,Normon Richardazz|Harbert Murril,bn,Adhunik Bangla,Romantic Modern,0,0,13,0,5
Bone Noy Mone Mor,Manabendra Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0,9,8,7
Dake Loke Amake Clown,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,0,5
Kolahal To Baron Holo,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,8,2,0
"Aar Nai Re Bela, Namlo Chhaya",Sumitra Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,3,8,3
Ami Cholte Cholte Theme Gechhi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,9,12
Swapan Jodi Madhur Emon,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,6,12,2
Madhumas Jay,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,0,8,12
Shamla Gaanyer Kajla Meye,Hemant Kumar|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0,8,11,10
Dil Dariyar Majhete,Purna Das Baul,bn,Bangla Folk,Baul,2,0,8,0,5
Ami Chaee Chaee Chaee,Sapna Mukherjee,bn,Bangla Film,Romantic Playback,1,0,11,9,7
Tari:- (Ebar Tor Mora Gange and Samal Samal Samal),Dohar,bn,Bangla Folk,Regional Folk,2,0,12,7,9
Madhobi Modhupey Holo Mitali,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,8,4,7
Ki Je Kori Dure Jete Hay,Lata Mangeshkar,bn,Bangla Film,Melancholy Playback,1,0,9,2,10
Ami Je Jalsaghare,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,0,9,12
Mon Bolchhe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,0,5
Amar Balar Kichhu Chhilo Na,Haimanti Shukla,bn,Adhunik Bangla,Romantic Modern,0,0,3,12,3
Chaaridike Paaper Andhar (Manush Janam Diye Bidhi),Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,13,8,7
Ami Je Ke Tomar,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,2,10
Shaon Raate Jodi,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,0,12,5
Rui Katla Ilish To Noy,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,2,10
Hay Re Kala Eki Jwala,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,4,3
Mukhe Bolleye Prem Hoye Na,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,6,7,9
Chakrita Ami Peyegechi Bela 2441139,Anjan Dutt,bn,Adhunik Bangla,Romantic Modern,0,0,0,9,12
O Amar Pran Sajani (Champabothi Kanya),Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,11,2,10
Jodi Bhabo Bhalobeshe,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,9,7,9
Andhakarer Ei Raater Sheshe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,12,5
Amar Raat Pohaalo (d B),Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nature,7,0,6,9,7
Bangla:- (Ami Bangla Mayer Chhele and Amar Sonar Bangla),Dohar,bn,Bangla Folk,Regional Folk,2,0,11,7,9
Sukno Patar Nupur Paye,Feroza Begum,bn,Nazrul Geeti,Nazrul Romantic,6,0,13,8,3
Jodi Kagoje Lekho Naam,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,8,11,10
Na Chahile Jare Paoya Jaay - Manna Dey,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,9,2,10
Jhilik Jhilik Jhinuk,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,9,2,10
Purano Sei Diner Kotha,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,4,7
O Tota Pakhi Re,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0,6,8,7
She Keno Amay,Pankaj Udhas,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,10
Jeevanamaraner,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Devotional,7,0,8,4,7
Eureka Eureka,Kishore Kumar|Ranu Mukherjee|Chorus,bn,Bangla Film,Duet Playback,1,0,13,9,12
Chhinnapatar Sajai Taranee,Sumitra Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,8,8,10
Amar Chetana Chaitanya Kore,Panna Lal Bhattacharjee,bn,Devotional,Spiritual,5,0,8,2,10
Amar Hriday Tomar Aapan Haater Dole (Duet),Arundhati Holme Chowdhury|Santu Mukherjee,bn,Rabindra Sangeet,Tagore Classic,7,0,5,2,2
Ek Din Aaro Gelo,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,8,10
Madhumas Jay,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,3,0,12
Hotam Jodi Tota Pakhi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,11,12,0
Aadho Aalo Chhayte,Kishore Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,6,9,12
Ami Tomar Majhe Pelam Khunje,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,0,9,0
Ore Mon-Mayana,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,4,3
Machher Kanta Khonpar Kanta,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,2,2,10
Bhalobese Sakhi Nibhrite Jatane,Chinmoy Chatterjee,bn,Rabindra Sangeet,Tagore Nature,7,0,3,0,12
Nahin Surya Nahin Jyoti,Anup Jalota,bn,Devotional,Bhajan,5,0,5,2,10
Ek Baishakhe Dekha Holo Dujanay,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,6,9,7
Ei Sundar Raatri,Sandhya Mukherjee,bn,Bangla Film,Romantic Playback,1,0,8,11,10
O Montrimoshai,Rabi Ghosh|Anup Ghoshal,bn,Children's Music,Comic Song,4,0,3,9,12
Iskabaner Deshe,Antara Chwdhury,bn,Children's Music,Comic Song,4,0,3,8,3
Gun Gun Gun Kunje Amar,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,0,3
Golemale Gole Male Pirit Koiro Na,Purna Das Baul,bn,Bangla Folk,Baul,2,0,0,9,12
Tomaro Ashimey,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Devotional,7,0,8,2,0
Amar Moner Ei Mayurmahale,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,4,7
Ami Je Ke Tomar,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,7,9
Tomate Amate Dekha Hoyechhilo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,8,4,12
Raat Je Madhumati,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,9,12,0
Ei Brishtite Bhije Mati,Manna Dey|Lata Mangeshkar,bn,Bangla Folk,Regional Folk,2,0,13,0,12
Ke Pratham Kachhe Esechhi,Lata Mangeshkar|Manna Dey,bn,Bangla Film,Duet Playback,1,0,8,2,0
Pherano Jabe Na Aar,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,8,4,7
Chanchal Moyuri E Raat,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,8,7
Ei To Bhalo Legechhilo - Hemanta Mukherjee,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,8,8,3
Eso Pranbharan,Arundhati Holme Chowdhury|Bitu Samajpati,bn,Rabindra Sangeet,Tagore Classic,7,0,13,11,3
Ami Aaj Bhebechhi Mone,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,3,9,12
Baro Eka Laage,Manna Dey,bn,Bangla Film,Melancholy Playback,1,0,13,4,3
Nohi Jantra,Anup Ghoshal,bn,Children's Music,Comic Song,4,0,11,2,0
Pranbhara Swapna,Kishore Kumar|Chandrani Mukherjee,bn,Bangla Film,Duet Playback,1,0,8,12,5
Sabar Aarale,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,6,9,0
Tapur Tupur Sara Dupur,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,11,2,2
Amay Bolo Na Gahite,Suchitra Mitra,bn,Rabindra Sangeet,Tagore Classic,7,0,13,4,3
Ore Sujan Naiya,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,8,11,10
Aami Dasyir Sathey Kori Dosti,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,13,4,7
Na Na Emon Korey,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,11,0
Katha Hoyechhilo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,6,2,10
Pathey Chhile Jetey,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,13,8,3
Jakhan Porbe Na Mor Payer Chinha,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,4,7
Kana Machhi Bhon Bhon,Antara Chwdhury|Sabita Chowdhury,bn,Children's Music,Comic Song,4,0,3,8,3
Dui Naukaye Diya Pa,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,9,2,0
Shiter Shishir Bheja Raat,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,2,9,2
Mon Tomar Ei Bhram Gelo Na,Panna Lal Bhattacharjee,bn,Devotional,Spiritual,5,0,8,8,10
Ami Tomar Preme Habo Sabar,Sagar Sen,bn,Rabindra Sangeet,Tagore Romantic,7,0,8,12,5
Mahabiswey Mahabiswey,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,13,11,10
Priyotamo Ki Likhi Tomay,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,0,5
O Bideshi Bandhu,Bhupen Hazarika,bn,Adhunik Bangla,Urban Modern,0,0,9,2,0
Nayan Chherey Geley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,6,12,0
Aaro Katodin Ami Khunjechhi Tomake,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,0,0,12
Kalyankarini Saptanadi Bhagini,Chandrabali Rudra Dutta,bn,Rabindra Sangeet,Tagore Classic,7,0,6,9,4
Shono Go Dakhin Hawa,S. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0,13,0,12
Prem Kise Hoy,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,0,12
King Of The Ghosts Gives 3 Boons,Satyajit Ray,bn,Children's Music,Fantasy Song,4,0,3,9,3
Kon Pakhi Dhara Dite Chaaye,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,8,7
Bharaa Thaak Smritisudhaay,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,6,11,2
Naam Rekhechhi Bonolata,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,13,8,3
Ami Apon Koriya Chahini,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,11,9,7
"Barne, Gandhe, Chhande, Gitite",S. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,10
Hay Go Amar Mon Mane Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,9,4,7
Darjeeling Jatra,R. D. Burman,bn,Children's Music,Travel Comic,4,0,3,8,3
Ja Peyechhi,Amit Kumar,bn,Bangla Film,Romantic Playback,1,0,13,9,12
Se To Elo Na,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,3,0,5
Na Na Jeo Na,Manna Dey,bn,Bangla Film,Melancholy Playback,1,0,8,9,0
Pratidhwani Suni,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,3,4,3
Ke Jay Amritadhamjatri,Ritu Guha,bn,Rabindra Sangeet,Tagore Classic,7,0,13,0,12
Badal Kalo Ghirlo Go,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,8,7
Baro Asha Kare,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,2,0
Onek Khujechi Khuje Payine,Mohammad Aziz,bn,Bangla Film,Romantic Playback,1,0,3,7,9
Aar Nai Je Deri,Chinmoy Chatterjee,bn,Rabindra Sangeet,Tagore Classic,7,0,0,9,12
Rai Jago Rai Jago Bole,Amar Pal,bn,Bangla Folk,Polli Geeti,2,0,9,4,7
"Ogo Kangal, Amare Kangal Karechho",Ritu Guha,bn,Rabindra Sangeet,Tagore Classic,7,0,0,9,12
Eto Kachhe Dujane,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,12,5
Amra Korbo Joy,Bhupen Hazarika|Chorus,bn,Bangla Patriotic,Inspirational Anthem,3,0,8,8,3
E Jiban Premeri Ek Patabahar Kabita,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,12,0
Megh Aar Kuyashay Hok,Kishore Kumar|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0,6,12,2
Amar Bela Je Jai,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,8,3
Badhu Kon Alo (Part 2),Arundhati Holme Chowdhury,bn,Rabindra Sangeet,Tagore Nature,7,0,8,4,7
Shudhu Jaoya Aasa,Arundhati Holme Chowdhury,bn,Rabindra Sangeet,Tagore Classic,7,0,9,2,10
Chanchal Mon Anmona Hoy,Lata Mangeshkar|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0,0,11,12
Bhola Mon Moner Katha,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,11,4,7
Amar Andhar Bhubane,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,8,10
Banshi Keno Hai,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,9,7
Hey Priyotama Ami To Tomay,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,9,12
"Sakhi, Bhabana Kahare Bale",Sumitra Sen,bn,Rabindra Sangeet,Tagore Romantic,7,0,11,8,5
Klaanti Aamaar Kshamaa Koro,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,3,0,12
Tunhu Mamo Monpran Hey (Stereo),Sandhya Mukherjee,bn,Bangla Film,Romantic Playback,1,0,3,8,5
Jabo Ki Jabo Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,8,3
Dekhe Elam Ruper Agun,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,8,4,7
E Ki Holo,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,9,4,0
Gharete Bhramar Elo,Sumitra Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,3,0,5
Ma Tui Amay Daya Korbi Ki Na Bal,Manna Dey,bn,Devotional,Spiritual,5,0,13,4,12
Aaj Bikeler Dake Tomar Chithi,Banasree Sengupta,bn,Adhunik Bangla,Romantic Modern,0,0,0,0,5
Aaro Bhalo Hoto,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,0,12,2
Tumi Je Amar,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,4,5
Amar Khela Jakhon Chhilo Tomar Sane,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,9,12,5
Shono Ei To Samay,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,13,11,10
Ami Gun Kormu Ekjonare,Anuradha Paudwal,bn,Devotional,Bhajan,5,0,8,4,7
Nibhrita Praner,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,13,0,5
Dinguli Mor Sonar Khanchay Roilo Na,Dwijen Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0,11,9,7
Keno Dure Thako,Hemant Kumar,bn,Bangla Film,Melancholy Playback,1,0,6,11,2
Jabar Belay Pichhu Theke,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,4,7
Tomake Shonate E Gaan,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,2,2,2
Akash Keno Daake,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,13,0,12
Jani Jani Tumi Esechho E Pathe,Sudeshna Chatterjee,bn,Adhunik Bangla,Romantic Modern,0,0,8,12,0
Hey Mor Debota,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,2,2,10
Jodi Baran Karo Tabe Gabo Na,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,2,12,10
Ami Jani Na,Asha Bhosle|Abhijeet Bhattacharya,bn,Bangla Film,Duet Playback,1,0,8,4,7
Aaro Kachakachi,Kishore Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,13,0,12
Ogo Abar Natun Kore,Mukesh,bn,Bangla Film,Romantic Playback,1,0,13,0,12
Deep Nibhey Gechhey,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,0,11,5
Mon Mor Megher Sangi,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,9,2,10
Aachhey Dukkha,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,8,4,7
Saat Sakaale,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,11,10
Jakhan Ami Anek Dure,Kishore Kumar,bn,Bangla Film,Melancholy Playback,1,0,11,7,9
Prano Bhariye Trisha Hariye,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,3,0,12
Mor Bhabonare (Female),SAHANA BAJPEI,bn,Rabindra Sangeet,Tagore Classic,7,0,9,4,0
Hai Re Poda Banshi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,7,9
Tomar Oi Dhupchhaya Rang,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,13,0,12
Je Chhilo Amar Swapancharini,Srikanto Acharya,bn,Adhunik Bangla,Romantic Modern,0,0,3,8,3
Dinguli Mor,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,8,2,10
Mora Dujonai Rajar Jamai,Anup Ghoshal,bn,Children's Music,Fantasy Song,4,0,11,12,5
Amay Nahe Go,Feroza Begum,bn,Nazrul Geeti,Nazrul Romantic,6,0,11,8,5
Naam Dhore Kejano,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,8,7,7
Shai Pakhitar,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,2,11,2
Deko Naa Aamarey,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,0,9,12
O Amar Pran Sajani (Champabothi Kanya),Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,9,4,0
Phote Je Rakta Golap,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,3,11,12
Bhulo Na Pratham Se Din,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,4,7
Jadi Akash Hoto Ankhi,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,9,0,5
Tung Tung Tung,C.L.T.,bn,Adhunik Bangla,Romantic Modern,0,0,3,8,3
Habuchandra Raja,Antara Chwdhury,bn,Children's Music,Fantasy Song,4,0,0,7,9
E Mon Amar Hariye Jay,Asha Bhosle,bn,Bangla Film,Melancholy Playback,1,0,0,8,3
Rangiye Diye Jao,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,3,0,12
Tomar Kaache Jabo,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,11,11,2
Sei Raate Raat Chhilo Purnima,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,12,2,2
Jafrani Rang Akashe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,9,2,10
Tomar Pujar Chhaley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Devotional,7,0,13,12,5
Shyam Roop Dhariya,S. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,10
O Jhar Jhar Jharna,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,5,2,2
"Madhur, Tomar Shesh Jey Na Pai",Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,13,0,12
Kar Milano Chao Birahi,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,9,11,10
Pran Chay Chokkhu Na Chay,Sagar Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,8,4,3
Amar Ga Chhamchham Kare,Asha Bhosle|Bappi Lahiri,bn,Bangla Film,Duet Playback,1,0,9,4,0
Esse Chhile Tobu,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,13,8,3
Ore Mon Pakhi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,9,3
Bare Bare Ke Jeno Dake,Manabendra Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0,0,12,0
Beshi Ki Boli Jakhon Boli,Bappi Lahiri|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,2,7,9
Chalo Chole Jai Haate Haat Rekhe,Asha Bhosle|R. D. Burman,bn,Bangla Film,Duet Playback,1,0,0,9,12
Bandha Moner Duar Diyechhi,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,4,7
Haowa Megh Saraye Phul Jharaye,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,8,5
Khukumani Go Sonaa,Antara Chwdhury|Sabita Chowdhury,bn,Children's Music,Children's Song,4,0,11,2,10
Diner Shese Ghumer Deshe,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,6,7,9
Tari Amar Hathat Dubey Jai,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,8,12,5
Ami Tomay Jato Shuniyechhilem Gaan,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,0,9,12
Tomar Dake Sara Dite,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,6,12,5
Ki Je Bhabi Elomelo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,0,5
Ekta Gaan Likho Amar Janyo,Pratima Banerjee,bn,Adhunik Bangla,Romantic Modern,0,0,8,8,7
Ei Agune Haat Rakho,Nachiketa Chakraborty,bn,Adhunik Bangla,Romantic Modern,0,0,13,7,9
Ami To Tomar Chirodiner Hnasi Kannar Sathi,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0,8,4,0
Dekte Dekte Din Chole,Mahendra Kapoor,bn,Bangla Film,Romantic Playback,1,0,3,11,3
Amio Pather Mato,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,8,4,7
Dure Dure Kachhe Kachhe,Aarti Mukherji,bn,Bangla Film,Melancholy Playback,1,0,9,12,7
Lakshmiti Dohai Tomar,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,8,3
Ekhono Sarengita Bajchhe,Haimanti Shukla,bn,Adhunik Bangla,Romantic Modern,0,0,8,4,3
Angur Angur Chokh,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,9,12
Je Jon Premer Bhav Jane Na,Runa Laila,bn,Adhunik Bangla,Romantic Modern,0,0,0,12,5
O Duti Ankhi Jeno,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,8,11,10
Tumi Nirmal Karo Mangal Kare,Panna Lal Bhattacharjee,bn,Devotional,Spiritual,5,0,13,9,12
Nabo Anande Jago Aaji,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,9,4,7
Kaharba Noy Dadra Bajao,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,9,4,7
Amay Prashna Kare Neel Dhrubatara,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,0,9,12
Banya Banya E Aranya,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,11,9,7
Ki Gabo Ami Ki Shunabo,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,3,8,3
Praaney Gaan Naai,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,6,9,7
Dak Pathale Kaal Sakale,Asha Bhosle|R. D. Burman,bn,Bangla Film,Duet Playback,1,0,6,2,7
Tumi Esechhile Porshu,S. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,10
Jani Na Se Kon Sudur Pare,Haimanti Shukla,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,0
Dil Dariyar Majhete,Purna Das Baul,bn,Bangla Folk,Baul,2,0,0,9,7
Jani Nai Go Sadhan,Debabrata Biswas|Others,bn,Rabindra Sangeet,Tagore Classic,7,0,0,12,5
Ei Je Nadi Jay Sagare,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,13,0,12
Kar Manjir Baje Rini,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,0
Khonpar Ei Golap Diye,Sivaji Chatterjee,bn,Adhunik Bangla,Romantic Modern,0,0,6,11,12
Tumi Jey Surer Aagun,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,6,8,7
Bharat Amar Bharat Barsha,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,13,0,12
Din Jaye Raat Jaye,Anuradha Paudwal,bn,Devotional,Bhajan,5,0,13,11,12
Bahudiner Agete Godhulir Belate,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,8,4,12
Amar Sesh Paraner Kodi,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Romantic,7,0,8,4,7
Aaj Mon Cheyechhe,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,8,3
Ei Je Heri Go Debi Amari,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,0,12,3
Jiya Manat Na - Thumree,Mahendra Kapoor,bn,Bangla Film,Romantic Playback,1,0,0,7,9
Akaraney Akaley Mor,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,8,11,10
Se To Elo Na,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,9,2,10
Ei Sundar Swarnali Sandhaye,Geeta Dutt,bn,Bangla Film,Romantic Playback,1,0,6,4,7
Payal Baje Chham Chham Chham - Thumree,Mahendra Kapoor,bn,Bangla Film,Romantic Playback,1,0,6,7,9
Chinechhi Chinechhi Tomar E Mon,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,13,8,3
Bhalobashar Moto Bhalo Kauke,Udit Narayan,bn,Bangla Film,Romantic Playback,1,0,0,7,9
Swapney Aamaar Mone Holo,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,8,8,5
Ei Edike Eso Esona,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,11,10
