track_name,language,playlist_genre,playlist_subgenre,track_artist,kmeans_cluster,agg_cluster,dbscan_cluster
Aaj Ei Dintake,bn,Bangla Film,Retro Film Melody,Kishore Kumar,0,0,0
Amar Swapna Tumi Ogo,bn,Bangla Film,Romantic Duet,Asha Bhosle|Kishore Kumar,0,1,0
Ami Chini Go Chini Tomare,bn,Rabindra Sangeet,Tagore Romantic,Kishore Kumar,0,0,0
Purano Sei Diner,bn,Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas,1,0,0
Aamar Pujar Phool,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,1,0,0
Se Jeno Aamar Pashe,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,0,1,0
Mone Pore Ruby Roy,bn,Adhunik Bangla,Urban Nostalgia,R. D. Burman,0,1,0
Coffee Houser Sei Addata Aaj Aar Nei,bn,Adhunik Bangla,Urban Nostalgia,Manna Dey,1,0,0
Sei Raate Raat Chhilo Purnima,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,1,0,0
Ei Path Jodi Na Shes Hoy,bn,Bangla Film,Romantic Duet,Sandhya Mukherjee|Hemant Kumar,1,0,0
Tumi Kon Kananer Phul,bn,Rabindra Sangeet,Tagore Romantic,Asha Bhosle,0,1,0
Amar Swapna Je Satyi,bn,Bangla Film,Romantic Retro,Kishore Kumar|Lata Mangeshkar,1,0,0
Nayan Sarasi Keno Bhoreche Jaale,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,1,0,0
Jodi Hoi Chorkanta,bn,Bangla Film,Romantic Retro,Asha Bhosle|Kishore Kumar,1,0,0
Mon-Majhi Re,bn,Bangla Folk,Folk-inspired Modern,R. D. Burman,1,0,0
Tare Ami Chokhe Dekhini,bn,Adhunik Bangla,Mystical Modern,Kishore Kumar,0,1,0
Aamar Bhalobasar Rajprasade,bn,Adhunik Bangla,Romantic Modern,Manna Dey,0,1,0
Aaj Milan Tithir Purnima Chand,bn,Bangla Film,Romantic Retro,Kishore Kumar,1,1,0
Jakhan Keu Amake Pagol Bale,bn,Adhunik Bangla,Philosophical Modern,Manna Dey,1,0,0
Coffee Houser Sei Addata Aaj Aar Nei,bn,Adhunik Bangla,Urban Nostalgia,Manna Dey,1,0,0
Chokher Jaler Hoyna Kono Rang,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,1,0,0
Chirodini Tumi Je Aamar- Male,bn,Bangla Film,Romantic Film Ballad,Kishore Kumar,1,0,0
Jani Tomar Premer Jogyo Ami To Noi,bn,Adhunik Bangla,Melancholic Modern,Manna Dey,0,0,0
Bandhagharer Andhakare,bn,Adhunik Bangla,Philosophical Modern,Asha Bhosle|Kishore Kumar,1,0,0
O Chand Samle Rakho Jochhnake,bn,Adhunik Bangla,Romantic Modern,Manna Dey,0,1,0
Na Na Na Kachhe Esona,bn,Bangla Film,Playful Romantic,Asha Bhosle|S. P. Balasubrahmanyam,0,0,0
Sundari Go Dohai Dohai,bn,Bangla Film,Playful Folk-Film,Manna Dey,0,1,0
Asha Chhilo Bhalobasa Chhilo,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,0,1,0
Hoyto Amake Karo Mone,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,0,1,0
Mone Porle,bn,Adhunik Bangla,Romantic Modern,Arijit Singh,0,1,0
Gunjane Dole Je Bhramar,bn,Bangla Film,Romantic Duet,Asha Bhosle|Kishore Kumar,1,0,0
Phulkali Re Phulkali,bn,Bangla Film,Light Romantic,Asha Bhosle|Kishore Kumar,1,0,0
Keno Re Tui Chorli,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,0,1,0
"Rangini Kato Mon, Mon Dite Chay",bn,Adhunik Bangla,Romantic Modern,Manna Dey,0,1,0
Bolchi Tomar Kane Kane- Female,bn,Bangla Film,Romantic Solo,Lata Mangeshkar,1,0,0
Din Khon Mapa Ache,bn,Adhunik Bangla,Romantic Modern,Arijit Singh,1,0,0
Lalita Go Oke Aaj Chole Jete Bal Na,bn,Bangla Film,Emotional Retro,Manna Dey,1,1,0
Prithibi Bodle Gechhe,bn,Adhunik Bangla,Philosophical Modern,Kishore Kumar,0,1,0
Ek Tanete Jemon Temon,bn,Bangla Folk,Folk-inspired Light,Kishore Kumar|Swapan Chakraborty,0,1,0
Aaj Theke Aar Bhalobasar,bn,Adhunik Bangla,Breakup Modern,Kishore Kumar,0,1,0
Hridayer Gaan Shikhe To Gaay Go Sabai,bn,Adhunik Bangla,Philosophical Modern,Manna Dey,0,1,0
E Gaane Prajapati (Stereo),bn,Bangla Film,Light Romantic,Sandhya Mukherjee,0,0,0
Chhero Na Chhero Na Haath,bn,Bangla Film,Romantic Duet,Kishore Kumar|Sabina Yasmeen,0,1,0
Ami Cheye Cheye Dekhi,bn,Adhunik Bangla,Romantic Modern,Shyamal Mitra,0,1,0
Dole Dodul Dole Jhulana,bn,Bangla Film,Semi-Classical Film,Manabendra Mukherjee|Shyamal Mitra,0,0,0
Tomay Porechhe Mone,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,0,1,0
Mangaldeep Jwele (Part 1),bn,Devotional,Puja Spiritual,Lata Mangeshkar|Others,0,1,0
Shono Mon Boli Tomay,bn,Adhunik Bangla,Philosophical Modern,R. D. Burman,1,0,0
Tora Je Ja Bolish,bn,Rabindra Sangeet,Tagore Playful,Debabrata Biswas,0,1,0
Chirodini Tumi Je Aamar- Female,bn,Bangla Film,Romantic Film Ballad,Asha Bhosle,1,0,0
Aamar Swapna Je,bn,Bangla Film,Romantic Retro,Lata Mangeshkar|Kishore Kumar,1,0,0
Ka Phonta Chokher Jal Phelechho,bn,Adhunik Bangla,Melancholic Modern,Manna Dey,1,0,0
Katoi Ranga Dekhi Duniyay,bn,Bangla Film,Comic Satire,Amar Pal,1,0,0
Bhalo Bashi Bhalo Bashi,bn,Rabindra Sangeet,Tagore Romantic,Amit Kumar|Kavita Krishnamurthy,0,1,0
Sandhya Belay Tumi Ami,bn,Adhunik Bangla,Romantic Modern,Asha Bhosle,1,0,0
Chole Jete Jete Din,bn,Adhunik Bangla,Melancholic Modern,Lata Mangeshkar,0,1,0
Bulbul Pakhi Maiana,bn,Children's Music,Children's Rhyme,Antara Chwdhury,1,0,0
Janmadin,bn,Children's Music,Birthday Song,Kishore Kumar,0,1,0
Ami Jamini Tumi Shashi Hey,bn,Bangla Film,Romantic Semi-Classical,Manna Dey,0,1,0
Ami Taar Thikana Rakhini,bn,Adhunik Bangla,Romantic Modern,Manna Dey,1,0,0
Aar Ki Tomay Chharchhi,bn,Adhunik Bangla,Romantic Modern,Asha Bhosle|R. D. Burman,0,1,0
Bom Bhole,bn,Devotional,Shiva Devotional,Kishore Kumar,1,1,0
Gahan Megher Chhaya Ghanay,bn,Adhunik Bangla,Monsoon Modern,Manna Dey,1,0,0
Kato Naree Achhe E Gokule,bn,Bangla Film,Comic Folk-Film,Asha Bhosle|Kishore Kumar|Tanuja,0,1,0
Karo Keu Naiko Aami,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,0,0,0
Balo Ki Achhe Go,bn,Bangla Film,Romantic Duet,R. D. Burman,0,0,0
Ami Gaan Shonabo,bn,Adhunik Bangla,Light Modern,Hemant Kumar,0,1,0
Na Mon Lage Na,bn,Bangla Film,Romantic Retro,Lata Mangeshkar,1,0,0
Najar Diyo Na,bn,Adhunik Bangla,Playful Modern,Kishore Kumar,0,1,0
Mon Janala Khule Dena,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,1,0,0
Pora Banshi Shunle E Mon,bn,Adhunik Bangla,Folk-inspired Modern,Asha Bhosle,1,0,0
Amar Deep Nebhano Raat,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,0,1,0
O Mor Moyna Go,bn,Bangla Folk,Folk Song,Lata Mangeshkar,0,1,0
Abhimane Chole Jeo Na,bn,Adhunik Bangla,Romantic Modern,Manna Dey,1,0,0
Prem Baro Madhur,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,1,0,0
Na Na Na Aaj Raate Aar,bn,Bangla Film,Playful Romantic,Manna Dey,0,1,0
Sedino Akashe Chhilo Kato Tara,bn,Adhunik Bangla,Nostalgic Modern,Kishore Kumar,0,1,0
Bhuter Raja Dilo Bor,bn,Children's Music,Fantasy Film Song,Anup Ghoshal|Rabi Ghosh,1,0,0
Naam Amar Kishore Kumar Ganguly,bn,Adhunik Bangla,Tribute Song,Kishore Kumar,1,0,0
Bhoy Dekhas Na (Male) Voice & Guitars,bn,Adhunik Bangla,Acoustic Modern,Arijit Singh,1,0,-1
Hoyto Tomari Janya,bn,Bangla Film,Romantic Film Song,Manna Dey,1,0,0
Piya Bholo Abhimaan,bn,Bangla Film,Romantic Retro,Ajoy Chakrabarty,1,0,-1
Ami Nei Ami Nei,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,0,1,0
Shono Mon Boli Tomay,bn,Adhunik Bangla,Philosophical Modern,R. D. Burman,0,0,0
Hai Hai Ki Herilam,bn,Bangla Folk,Folk Ballad,Utpalendu Chowdhury,0,1,0
Kolkata Kolkata,bn,Bangla Film,City Travel,Bappi Lahiri,1,0,0
Gharete Bhramar Elo Gunguniye,bn,Adhunik Bangla,Folk-inspired Modern,Arundhati Holme Chowdhury,0,1,0
Mor Bhabanare Ki Haoway Matalo,bn,Rabindra Sangeet,Tagore Nature,Hemant Kumar,1,0,0
Ami Ek Jajabar,bn,Adhunik Bangla,Wanderer Song,Bhupen Hazarika,1,0,0
Dekhore Nayan Melay,bn,Bangla Folk,Folk Ballad,Anup Ghoshal,0,1,0
Ek Je Chhilo Raja,bn,Children's Music,Story Song,Anup Ghoshal|Rabi Ghosh,0,1,0
Ei Meghla Dine Ekla,bn,Adhunik Bangla,Monsoon Modern,Hemant Kumar,1,0,0
Ami Pathbhola Ek Pathik Esechhi (Duet),bn,Bangla Film,Romantic Duet,Kanika Banerjee|Suchitra Mitra|Hemant Kumar,1,0,0
Shudhu Bhalobasha Diye,bn,Adhunik Bangla,Romantic Modern,Hemant Kumar,0,1,0
Deke Deke Kato,bn,Bangla Film,Romantic Retro,R. D. Burman,0,1,0
Manush Manusher Jannya,bn,Bangla Patriotic,Humanist Song,Bhupen Hazarika,0,1,0
Aha Ki Ananda,bn,Children's Music,Fantasy Film Song,Anup Ghoshal,0,1,0
Darjeeling Jatra,bn,Children's Music,Travel Comic,R. D. Burman,0,1,0
Moner Manush :- (Mon Jakhan Jagli Nare and Milan Habe Kata Dine),bn,Bangla Folk,Lalon Baul,Dohar,1,0,0
Katha Diye Ele Na,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Amar Shilpi Tumi Kishore Kumar,bn,Bangla Film,Romantic Playback,Kumar Sanu,1,0,0
Champa Chameli Golaperi Baage,bn,Bangla Film,Duet Playback,Manna Dey|Sandhya Mukherjee,1,0,0
Nishidin Nishidin,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,1,0
Jete Jete Pathe Holo,bn,Bangla Film,Romantic Playback,R. D. Burman,1,0,0
Saat Bhai Champa Jagore,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Antabihin Kate Na Aar Jeno (Baro Shunya Shunya),bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Ei Mom Jochhonay Ango Bhijiye,bn,Bangla Film,Romantic Playback,Aarti Mukherji,0,0,0
Tomar Pujar Chhaley,bn,Rabindra Sangeet,Tagore Devotional,Debabrata Biswas,1,0,0
Tomate Amate Dekha Hoyechhilo,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,0
Jete Jete Pathe Holo,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,0
Ei Sundar Swarnali Sandhaye,bn,Bangla Film,Romantic Playback,Geeta Dutt,0,1,0
Mayur Aakaash,bn,Bangla Film,Romantic Playback,Bappi Lahiri,1,0,0
Olir Katha Shune Bakul Hase,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,0,0
Aebar Pujoye Chaaye,bn,Bangla Film,Romantic Playback,Alka Yagnik,0,1,0
Jani Na Aaj Je Apon,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Takhon Tomar Ekush Bachhar,bn,Bangla Film,Romantic Playback,Aarti Mukherji,0,1,0
Nagor Amar Kancha Peerit,bn,Bangla Film,Duet Playback,Asha Bhosle|Shailender Singh,1,0,0
Oi Dustu Chokher Mishti Hasi,bn,Bangla Film,Duet Playback,Sandhya Mukherjee|Hemant Kumar,0,1,0
Mor Bina Othe Kon Sure Baji,bn,Rabindra Sangeet,Tagore Classic,Swagatalakshmi Dasgupta,0,1,0
Phire Eso Anuradha,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,0
Sajani Go Premer Katha,bn,Bangla Film,Romantic Playback,R. D. Burman,1,0,0
Jete Dao Amay Dekona,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Jibane Ki Pabo Na,bn,Bangla Film,Romantic Playback,Manna Dey,0,0,0
Tolo Chhinnabeena,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Kalo Meyer Payer Tolaaye,bn,Devotional,Shyama Sangeet,Panna Lal Bhattacharjee,0,1,0
O Amar Sajani Go,bn,Bangla Film,Duet Playback,Kishore Kumar|Lata Mangeshkar,1,0,0
Chhande Chhande Gaane Gaane,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,0,0
Badhu Kon Alo (Part 1),bn,Rabindra Sangeet,Tagore Nature,Arundhati Holme Chowdhury,1,0,0
Eshe Hirok Deshe,bn,Children's Music,Comic Song,Anup Ghoshal,0,1,0
Jana - Gana - Mana - Orchestra,bn,Children's Music,Comic Song,Akashvani Vadya Vrinda,0,1,0
O Tui Nayan Pakhi Amar Re,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Aasbo Aar Ekdin Aaj Jai,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Chokhe Chokhe Katha Balo,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Phire Eso Anuradha,bn,Bangla Film,Romantic Playback,R. D. Burman,1,0,0
Ami Dur Hote Tomarei Dekhechhi,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,1,0
Hey Nutan Dekha Dik Aar-Bar,bn,Rabindra Sangeet,Tagore Classic,Swagatalakshmi Dasgupta,0,1,0
Ek Je Chhilo Maachhi,bn,Children's Music,Children's Song,Antara Chwdhury,0,1,0
Ami Mon Diye Chi,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Bidhir Bandhan Katbe Tumi,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Maharaja Tomarey Shelam,bn,Children's Music,Fantasy Song,Anup Ghoshal|Rabi Ghosh,0,1,0
Ami Je Jalsaghare (Stereo),bn,Bangla Film,Romantic Playback,Sandhya Mukherjee,0,1,0
Aamar Eche Korche Bhalo,bn,Bangla Film,Duet Playback,Bappi Lahiri|Asha Bhosle,1,0,0
Balo Ki Achhe Go,bn,Bangla Film,Romantic Duet,R. D. Burman,0,1,0
Tomari Chalar Pathe,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Ore Baba Dekho Cheye,bn,Children's Music,Comic Song,Anup Ghoshal,0,1,0
Keno Kichhu Katha Balo Na,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Aayre Chhute Aai,bn,Children's Music,Comic Song,Antara Chwdhury,0,1,0
Je Khanei Thako Sukhe Thako,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Dekhle Kemon Tumi Khel,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Aei Gaaneri Shure Shure,bn,Bangla Film,Romantic Playback,Mohammad Aziz,1,0,0
Phire Elam Dure Giye,bn,Bangla Film,Duet Playback,Asha Bhosle|R. D. Burman,0,1,0
Pa Ma Ga Re Sa,bn,Devotional,Spiritual,Lata Mangeshkar,1,0,0
Na Dir Dir Da,bn,Children's Music,Comic Song,Antara Chwdhury,0,1,0
Swapna Mahale Ajo Nishirate,bn,Bangla Film,Romantic Playback,Bappi Lahiri,1,0,0
Nadir Paare Uthchhe Dhonya,bn,Bangla Film,Romantic Playback,R. D. Burman,1,1,0
Keu Jane Na Tumi Je Amar,bn,Bangla Film,Romantic Playback,R. D. Burman,0,0,0
Ore Amar Mon,bn,Adhunik Bangla,Romantic Modern,Dwijen Mukherjee,1,0,0
Bujhbe Na Keu Bujhbe Na,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Taare Bole Diyo,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
Dongshili Tui,bn,,Romantic Playback,Lata Mangeshkar,0,1,0
Jani Na Kothay Tumi,bn,,Duet Playback,Asha Bhosle|R. D. Burman,0,1,0
Bolchi Tomar Kane Kane- Duet,bn,,Romantic Solo,Bappi Lahiri|Rema Lahiri,1,0,0
Lakshmiti Dohai Tomar,bn,,Romantic Playback,Asha Bhosle,0,0,0
Phire Elam Dure Giye,bn,,Duet Playback,Asha Bhosle|R. D. Burman,1,1,0
Chupi Chupi Kaache Aesho,bn,,Romantic Playback,Alka Yagnik,0,1,0
Ei Purnima Raat,bn,,Romantic Playback,Hemant Kumar,0,1,0
Kono Kaaj Noy Aaj,bn,,Duet Playback,Asha Bhosle|Kishore Kumar,0,0,0
Shudhu Jaowa Asa,bn,,Romantic Modern,Lopamudra Mitra,0,1,0
Otho Otho Surjayre,bn,,Romantic Playback,Lata Mangeshkar,1,0,0
Drishya Dekhi Anya,bn,,Comic Song,Anup Ghoshal,0,1,0
Nei Sei Purnima Raat,bn,,Melancholy Playback,Asha Bhosle,0,1,0
Ogo Aar Kichhu To Naai,bn,,Romantic Playback,Lata Mangeshkar,1,0,0
Kobe Je Kothay,bn,,Romantic Playback,Bhupinder Singh,0,1,0
Sei Raate Raat Chhilo Purnima,bn,,Romantic Modern,Kishore Kumar,1,0,0
Sukher Majhey Tomay,bn,,Tagore Classic,Indrani Sen,0,1,0
Saraswati,bn,,Romantic Modern,Atanu Sanyal,0,1,0
Sunilo Saagarey,bn,,Tagore Nature,Debabrata Biswas,0,1,0
Otho Otho Suryai Re,bn,,Romantic Playback,Lata Mangeshkar,1,0,0
E Jiban Premeri Ek Patabahar Kabita,bn,,Romantic Playback,Kishore Kumar,1,0,0
Bistirna Dupare,bn,,Romantic Modern,Bhupen Hazarika,1,0,0
Menokaa Maathaay Dilo Ghomtaa,bn,,Baul,Purna Das Baul,0,1,0
Paye Pari Baghmama,bn,,Comic Song,Anup Ghoshal,1,0,0
Joriye Dhorechhi Jare,bn,,Romantic Playback,Kishore Kumar,0,1,0
Amar Natun Gaaner Janamatithi,bn,,Romantic Playback,Hemant Kumar,1,1,0
Ami Tomar Preme Habo Sabar,bn,,Tagore Romantic,Sagar Sen,1,0,0
Bhalo Jodi Baso Sakhi,bn,,Tagore Nature,Chinmoy Chatterjee,0,0,0
Katha Kichhu Kichhu Bujhe Nite Hoy,bn,,Duet Playback,Shyamal Mitra|Aarti Mukherji,1,0,0
Jiban Khatar Prati Patay,bn,,Romantic Modern,Shyamal Mitra,1,0,0
Amar Moner Ei Mayurmahale,bn,,Romantic Playback,Kishore Kumar,1,0,0
Alo Aar Alo Diye (Mone Hoy Aaj Ami),bn,,Romantic Playback,Asha Bhosle,0,1,0
Godhuli Gaganey,bn,,Tagore Classic,Debabrata Biswas,0,1,0
Abar Habe To Dekha,bn,,Romantic Playback,Manna Dey,1,0,0
Akash Keno Daake,bn,,Romantic Playback,Kishore Kumar,1,0,0
Madhabi Phutechhe Oi,bn,,Duet Playback,Lata Mangeshkar|R. D. Burman,0,1,0
Ek Je Chhilo Dushtu Chhele,bn,,Children's Song,Antara Chwdhury,0,1,0
Ki Hobe Aar Purono Diner Katha,bn,,Romantic Playback,R. D. Burman,1,0,0
Mone Naa Rang Lagle,bn,,Duet Playback,Asha Bhosle|Kishore Kumar|Chorus,1,0,0
Monta Aamar Hariye Geche,bn,,Melancholy Playback,Vijayta Pandit,1,0,0
Ei To Jiban,bn,,Romantic Playback,Kishore Kumar,0,1,0
Kato Madhur E Jibon,bn,,Romantic Playback,Kishore Kumar,1,0,0
Ei Je Nadi Jay Sagare,bn,,Romantic Playback,Kishore Kumar,0,1,0
Teenti Mantra Niye,bn,,Romantic Modern,Shyamal Mitra,1,0,0
Sakhi Bhabana Kahare Bale,bn,,Tagore Romantic,Lata Mangeshkar|Kavita Krishnamurthy,1,0,0
Ketechhe Ekela Biraher Bela,bn,,Tagore Nostalgia,Chinmoy Chatterjee,1,0,0
Deke Deke Kato,bn,,Romantic Retro,R. D. Burman,0,0,0
Eso Amar Ghare - Hemanta Mukherjee,bn,,Romantic Playback,Hemant Kumar,1,0,0
Jay Din Emni Jodi,bn,,Romantic Playback,Hemant Kumar,0,1,0
Ki Name Deke Bolbo Tomake,bn,,Romantic Modern,Shyamal Mitra,0,1,0
O Pakhi Ure Aay,bn,,Romantic Playback,Asha Bhosle,1,0,0
Phool Koli Re Phool Koli,bn,,Duet Playback,Kishore Kumar|Asha Bhosle,1,0,0
Hey Dola Hey Dola,bn,,Romantic Modern,Bhupen Hazarika,0,1,0
Ei Chhotto Chhotto Paye,bn,,Duet Playback,Aarti Mukherji|Pratima Banerjee,0,1,0
Chandra Je Tui,bn,,Romantic Playback,Lata Mangeshkar,1,0,0
Ganga Amar Ma,bn,,Spiritual,Bhupen Hazarika,0,1,0
Chintamoyee Tara Tumi,bn,,Shyama Sangeet,Panna Lal Bhattacharjee,0,1,0
Tumi Je Premer,bn,,Duet Playback,Kishore Kumar|Aarti Mukherji,1,0,0
Jani Na Kothay Tumi,bn,,Duet Playback,Asha Bhosle|R. D. Burman,0,1,0
Dure Akash Samiyanai,bn,,Melancholy Playback,Lata Mangeshkar,1,0,0
Rui Katla Ilish Bhebe,bn,,Romantic Modern,Sabina Yasmeen,1,0,0
Ektu Baso Chole Jeo Na,bn,,Melancholy Playback,Asha Bhosle,1,0,0
Charon Dhorite Diyo Go (Male),bn,,Tagore Classic,Hemant Kumar,0,0,0
Aaro Kachakachi,bn,,Duet Playback,Kishore Kumar|Asha Bhosle,1,0,0
Ekbar Bidaay De Ma,bn,,Spiritual,Lata Mangeshkar,0,1,0
Banshi Shune Ki,bn,,Romantic Playback,Asha Bhosle,1,0,0
Pora Banshi Shunle E Mon,bn,,Folk-inspired Modern,Asha Bhosle,0,1,0
Aami Ekjon Saanto Sishto,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Halla Cholechhe Juddhe,bn,Children's Music,Comic Song,Kamu Mukherjee|Jahor Roy,0,0,0
"O,sona Byang",bn,Children's Music,Children's Song,Antara Chwdhury,1,0,0
Ki Ashai Bandhi Khelaghar,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Chand Aar Shurjo,bn,Bangla Film,Romantic Playback,Alka Yagnik,1,0,0
Jana Ajana Pathey Cholechhi,bn,Bangla Film,Duet Playback,Kishore Kumar|Asha Bhosle,1,0,0
Aay Aay Chhute Aay,bn,Adhunik Bangla,Romantic Modern,Bhupen Hazarika,0,1,0
Oi Mahasindhur Opar Theke,bn,Bangla Film,Romantic Playback,Manna Dey,0,1,0
Ei Chhande Chhande Bhara,bn,Bangla Film,Duet Playback,Sandhya Mukherjee|Hemant Kumar,0,1,0
Dinguli Mor,bn,Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas,1,0,0
Hridayer Gaan Shikhe To Gaay Go Sabai,bn,Adhunik Bangla,Philosophical Modern,Manna Dey,0,1,0
Mone Pore Ruby Roy,bn,Adhunik Bangla,Urban Nostalgia,R. D. Burman,1,0,0
Tumi Jodi Thaktey,bn,Bangla Film,Romantic Playback,Kumar Sanu,1,1,0
Mor Bhabonare (Duet),bn,Rabindra Sangeet,Tagore Classic,Saptarshi|SAHANA BAJPEI,0,0,0
Namo Mata Saraswati,bn,Bangla Film,Duet Playback,Sandhya Mukherjee|Tarun Banerjee|Aarti Mukherji,1,0,0
O Prajapati Prajapati,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,1,0
Sagar Sangame,bn,Adhunik Bangla,Romantic Modern,Bhupen Hazarika,0,1,0
Katha Dao Aabar Asbe,bn,Bangla Film,Romantic Playback,Manna Dey,0,1,0
Tomake Lagche Bhari Chena,bn,Bangla Film,Duet Playback,Bappi Lahiri|Alka Yagnik,1,0,0
Esho Go Jweley,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,0,1,0
Amar Sakal Raser Dhara,bn,Bangla Film,Duet Playback,Hemant Kumar|Aarti Mukherji,1,0,0
"Ore Bondhure, Ore Sathi Re",bn,Bangla Film,Romantic Playback,Kishore Kumar,0,0,0
Na Bole Esechhi,bn,Bangla Film,Romantic Playback,Aarti Mukherji,0,0,0
Ja Ja Ja Bhule Ja,bn,Bangla Film,Melancholy Playback,Lata Mangeshkar,0,1,0
Keno Je Kandao Bare Bare,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
E Ki Chanchalata Jage,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,1,0
Moner Janala Dhore Unki Diye,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
Ogo Moner Duyare Danriye Theko Na,bn,Bangla Film,Romantic Playback,Aarti Mukherji,0,1,0
Kichhu To Chahini Ami,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Ektu Baso Chole Jeo Na,bn,Bangla Film,Melancholy Playback,Asha Bhosle,1,0,0
Akash Keno Daake,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Aakash Bhara,bn,Rabindra Sangeet,Tagore Nature,Debabrata Biswas,1,0,0
Dhoronako Shantrimoshai,bn,Children's Music,Comic Song,Anup Ghoshal,0,1,0
Aaj Jiban Khunje Pabi,bn,Adhunik Bangla,Romantic Modern,Bhupen Hazarika,0,1,0
Bhoy Dekhas Na (The Agnee Version),bn,Adhunik Bangla,Romantic Modern,Mohan Kannan,1,0,0
