track_name,language,playlist_genre,playlist_subgenre,track_artist,kmeans_cluster,agg_cluster,dbscan_cluster
Ami Sahebo Noi Golamo Noi,bn,Bangla Film,Melancholy Playback,Hemant Kumar,0,1,0
Hayre Pora Banshi,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,-1
Tomader Aasare Aaj,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Amar Mon Manne Na,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Gun Gun Kare Mon,bn,Bangla Film,Duet Playback,Amit Kumar|Asha Bhosle,1,0,0
Phule Gandha Nei,bn,Bangla Film,Melancholy Playback,Asha Bhosle,0,1,0
Katha Hoyechhilo,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Ami Dukkhake Sukh Bhebe,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
E Monihar Amay,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,1,0,0
Ek Din Aaro Gelo,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Na Ekhoni Noy Jabe,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Tomar Akash Duti Chokhe,bn,Adhunik Bangla,Romantic Modern,Nirmal Mishra,0,1,0
Aar Bilamba Noy,bn,Children's Music,Comic Song,Anup Ghoshal,0,1,0
Tumi Ele Anek Diner Pare,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
Kajol Kajol Chokhe,bn,Bangla Film,Duet Playback,Geeta Dutt|Hemant Kumar,1,0,0
Tomaar Holo Shuru (db),bn,Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas,1,0,0
Phul Phute Jhore Jaay,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Ele Na Tumi Je,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,0
Khelbo Holi Rang Debo Na,bn,Bangla Film,Duet Playback,Asha Bhosle|Kavita Krishnamurthy,0,1,0
Sajani Go Premer Katha,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,0
Ek Din Pakhi Ure Jabe,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Ek Tanete Jemon Temon,bn,Bangla Folk,Folk-inspired Light,Kishore Kumar|Swapan Chakraborty,1,0,0
Ek Din Pakhi Ure Jabe,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Emon Madhur Sandhyay,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Aamar Bhalobasar Rajprasade,bn,Adhunik Bangla,Romantic Modern,Manna Dey,1,0,0
Naari Charitra Bejaay Jatil,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Bhalobeshe Dekei Dekho Na,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Gaane Bhuban Bhoriye Debe,bn,Adhunik Bangla,Romantic Modern,Shyamal Mitra,0,1,0
Ei Korechho Bhalo,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,1,0
Baro Asha Kore Esechhi Go,bn,Rabindra Sangeet,Tagore Classic,Arundhati Holme Chowdhury|Hemant Kumar,0,1,0
Ore Batas Phulshakhate,bn,Bangla Film,Duet Playback,Sandhya Mukherjee|Hemant Kumar,1,0,0
Kine De Reshmi Churi,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Moner Naam Madhumati,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Nadir Paare Uthchhe Dhonya,bn,Bangla Film,Romantic Playback,R. D. Burman,1,0,0
Bristi Bristi Bristi,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Guru Bine Bondhu Naai Re Aar,bn,Bangla Folk,Regional Folk,Amar Pal,0,1,0
Cigarette Naho Tumi Swet-Pari,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Charon Dhorite Diyo Go (Female),bn,Rabindra Sangeet,Tagore Classic,Arundhati Holme Chowdhury,0,1,0
Ke Jabi Aay,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,1,0
Ebar Ami Amar Theke,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Tumi Aamar Asha,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,-1
Chokhe Naame Brishti,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Ami Premer Pather Pathik,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Tarpar Tar Aar Par Nei,bn,Bangla Film,Melancholy Playback,Hemant Kumar,0,1,0
Aay Khuku Aay (Keta Na Somay),bn,Bangla Film,Duet Playback,Hemant Kumar|Sravanti Mazumder,0,1,0
Ektuku Chhonwa Lage,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Danriye Achho Tumi Amar Gaaner O Paare,bn,Bangla Film,Romantic Playback,Sandhya Mukherjee,1,0,0
Moyna Balo Tumi,bn,Bangla Folk,Regional Folk,Asha Bhosle,1,0,0
Keu Jane Na Tumi Je Amar,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,0
Du Chokhe Brishti,bn,Bangla Film,Romantic Playback,Alka Yagnik,1,0,0
Emon Ekta Jhinuk Khunje,bn,Adhunik Bangla,Romantic Modern,Nirmal Mishra,0,1,0
Thuilam Re Mon Padmapatay,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,0,0
Jana Gana Mana - Military Band,bn,Adhunik Bangla,Romantic Modern,Normon Richardazz|Harbert Murril,0,1,0
Bone Noy Mone Mor,bn,Adhunik Bangla,Romantic Modern,Manabendra Mukherjee,1,0,0
Dake Loke Amake Clown,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Kolahal To Baron Holo,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,1,0,0
"Aar Nai Re Bela, Namlo Chhaya",bn,Rabindra Sangeet,Tagore Classic,Sumitra Sen,0,0,0
Ami Cholte Cholte Theme Gechhi,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,1,0
Swapan Jodi Madhur Emon,bn,Bangla Film,Romantic Playback,Manna Dey,0,1,0
Madhumas Jay,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,0
Shamla Gaanyer Kajla Meye,bn,Bangla Film,Duet Playback,Hemant Kumar|Aarti Mukherji,0,0,0
Dil Dariyar Majhete,bn,Bangla Folk,Baul,Purna Das Baul,0,1,0
Ami Chaee Chaee Chaee,bn,Bangla Film,Romantic Playback,Sapna Mukherjee,0,1,0
Tari:- (Ebar Tor Mora Gange and Samal Samal Samal),bn,Bangla Folk,Regional Folk,Dohar,1,0,0
Madhobi Modhupey Holo Mitali,bn,Bangla Film,Romantic Playback,Aarti Mukherji,1,0,0
Ki Je Kori Dure Jete Hay,bn,Bangla Film,Melancholy Playback,Lata Mangeshkar,1,0,0
Ami Je Jalsaghare,bn,Bangla Film,Romantic Playback,Manna Dey,0,1,0
Mon Bolchhe,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Amar Balar Kichhu Chhilo Na,bn,Adhunik Bangla,Romantic Modern,Haimanti Shukla,0,0,0
Chaaridike Paaper Andhar (Manush Janam Diye Bidhi),bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Ami Je Ke Tomar,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Shaon Raate Jodi,bn,Bangla Film,Romantic Playback,Manna Dey,0,1,0
Rui Katla Ilish To Noy,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Hay Re Kala Eki Jwala,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Mukhe Bolleye Prem Hoye Na,bn,Bangla Film,Romantic Playback,Alka Yagnik,1,0,0
Chakrita Ami Peyegechi Bela 2441139,bn,Adhunik Bangla,Romantic Modern,Anjan Dutt,1,0,0
O Amar Pran Sajani (Champabothi Kanya),bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Jodi Bhabo Bhalobeshe,bn,Bangla Film,Romantic Playback,Alka Yagnik,1,0,0
Andhakarer Ei Raater Sheshe,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Amar Raat Pohaalo (d B),bn,Rabindra Sangeet,Tagore Nature,Debabrata Biswas,0,1,0
Bangla:- (Ami Bangla Mayer Chhele and Amar Sonar Bangla),bn,Bangla Folk,Regional Folk,Dohar,1,0,-1
Sukno Patar Nupur Paye,bn,Nazrul Geeti,Nazrul Romantic,Feroza Begum,0,1,0
Jodi Kagoje Lekho Naam,bn,Bangla Film,Romantic Playback,Manna Dey,0,0,0
Na Chahile Jare Paoya Jaay - Manna Dey,bn,Bangla Film,Romantic Playback,Manna Dey,1,0,0
Jhilik Jhilik Jhinuk,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Purano Sei Diner Kotha,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
O Tota Pakhi Re,bn,Adhunik Bangla,Romantic Modern,Nirmal Mishra,0,0,0
She Keno Amay,bn,Adhunik Bangla,Romantic Modern,Pankaj Udhas,1,0,0
Jeevanamaraner,bn,Rabindra Sangeet,Tagore Devotional,Debabrata Biswas,1,0,0
Eureka Eureka,bn,Bangla Film,Duet Playback,Kishore Kumar|Ranu Mukherjee|Chorus,1,0,0
Chhinnapatar Sajai Taranee,bn,Rabindra Sangeet,Tagore Classic,Sumitra Sen,1,0,0
Amar Chetana Chaitanya Kore,bn,Devotional,Spiritual,Panna Lal Bhattacharjee,1,0,0
Amar Hriday Tomar Aapan Haater Dole (Duet),bn,Rabindra Sangeet,Tagore Classic,Arundhati Holme Chowdhury|Santu Mukherjee,0,0,0
Ek Din Aaro Gelo,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Madhumas Jay,bn,Bangla Film,Romantic Playback,R. D. Burman,1,0,0
Hotam Jodi Tota Pakhi,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,1,0
Aadho Aalo Chhayte,bn,Bangla Film,Duet Playback,Kishore Kumar|Asha Bhosle,1,0,0
Ami Tomar Majhe Pelam Khunje,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
Ore Mon-Mayana,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,1,0
Machher Kanta Khonpar Kanta,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,0,0
Bhalobese Sakhi Nibhrite Jatane,bn,Rabindra Sangeet,Tagore Nature,Chinmoy Chatterjee,0,1,0
Nahin Surya Nahin Jyoti,bn,Devotional,Bhajan,Anup Jalota,1,0,0
Ek Baishakhe Dekha Holo Dujanay,bn,Bangla Film,Romantic Playback,Aarti Mukherji,1,0,0
Ei Sundar Raatri,bn,Bangla Film,Romantic Playback,Sandhya Mukherjee,0,0,0
O Montrimoshai,bn,Children's Music,Comic Song,Rabi Ghosh|Anup Ghoshal,1,0,0
Iskabaner Deshe,bn,Children's Music,Comic Song,Antara Chwdhury,1,0,0
Gun Gun Gun Kunje Amar,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Golemale Gole Male Pirit Koiro Na,bn,Bangla Folk,Baul,Purna Das Baul,0,1,0
Tomaro Ashimey,bn,Rabindra Sangeet,Tagore Devotional,Debabrata Biswas,1,0,0
Amar Moner Ei Mayurmahale,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Ami Je Ke Tomar,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Tomate Amate Dekha Hoyechhilo,bn,Bangla Film,Romantic Playback,R. D. Burman,1,0,0
Raat Je Madhumati,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Ei Brishtite Bhije Mati,bn,Bangla Folk,Regional Folk,Manna Dey|Lata Mangeshkar,1,0,0
Ke Pratham Kachhe Esechhi,bn,Bangla Film,Duet Playback,Lata Mangeshkar|Manna Dey,1,0,0
Pherano Jabe Na Aar,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
Chanchal Moyuri E Raat,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Ei To Bhalo Legechhilo - Hemanta Mukherjee,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,1,0
Eso Pranbharan,bn,Rabindra Sangeet,Tagore Classic,Arundhati Holme Chowdhury|Bitu Samajpati,0,1,0
Ami Aaj Bhebechhi Mone,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
Baro Eka Laage,bn,Bangla Film,Melancholy Playback,Manna Dey,0,1,0
Nohi Jantra,bn,Children's Music,Comic Song,Anup Ghoshal,1,0,0
Pranbhara Swapna,bn,Bangla Film,Duet Playback,Kishore Kumar|Chandrani Mukherjee,0,1,0
Sabar Aarale,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Tapur Tupur Sara Dupur,bn,Bangla Film,Romantic Playback,Aarti Mukherji,0,1,0
Amay Bolo Na Gahite,bn,Rabindra Sangeet,Tagore Classic,Suchitra Mitra,1,0,0
Ore Sujan Naiya,bn,Bangla Film,Romantic Playback,R. D. Burman,0,1,-1
Aami Dasyir Sathey Kori Dosti,bn,Bangla Film,Romantic Playback,Manna Dey,1,0,0
Na Na Emon Korey,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Katha Hoyechhilo,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Pathey Chhile Jetey,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,1,1,0
Jakhan Porbe Na Mor Payer Chinha,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
Kana Machhi Bhon Bhon,bn,Children's Music,Comic Song,Antara Chwdhury|Sabita Chowdhury,0,1,0
Dui Naukaye Diya Pa,bn,Bangla Film,Romantic Playback,Alka Yagnik,0,1,0
Shiter Shishir Bheja Raat,bn,Adhunik Bangla,Romantic Modern,Bhupen Hazarika,0,0,0
Mon Tomar Ei Bhram Gelo Na,bn,Devotional,Spiritual,Panna Lal Bhattacharjee,0,0,0
Ami Tomar Preme Habo Sabar,bn,Rabindra Sangeet,Tagore Romantic,Sagar Sen,0,1,0
Mahabiswey Mahabiswey,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,0,0,0
Priyotamo Ki Likhi Tomay,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,1,0
O Bideshi Bandhu,bn,Adhunik Bangla,Urban Modern,Bhupen Hazarika,1,0,0
Nayan Chherey Geley,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,0,1,0
Aaro Katodin Ami Khunjechhi Tomake,bn,Bangla Film,Romantic Playback,Aarti Mukherji,0,1,0
Kalyankarini Saptanadi Bhagini,bn,Rabindra Sangeet,Tagore Classic,Chandrabali Rudra Dutta,0,1,0
Shono Go Dakhin Hawa,bn,Adhunik Bangla,Romantic Modern,S. D. Burman,1,0,0
Prem Kise Hoy,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
King Of The Ghosts Gives 3 Boons,bn,Children's Music,Fantasy Song,Satyajit Ray,1,0,0
Kon Pakhi Dhara Dite Chaaye,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
Bharaa Thaak Smritisudhaay,bn,Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas,0,1,0
Naam Rekhechhi Bonolata,bn,Adhunik Bangla,Romantic Modern,Shyamal Mitra,1,0,0
Ami Apon Koriya Chahini,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
"Barne, Gandhe, Chhande, Gitite",bn,Adhunik Bangla,Romantic Modern,S. D. Burman,1,0,0
Hay Go Amar Mon Mane Na,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,0,0
Darjeeling Jatra,bn,Children's Music,Travel Comic,R. D. Burman,0,1,0
Ja Peyechhi,bn,Bangla Film,Romantic Playback,Amit Kumar,0,1,0
Se To Elo Na,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Na Na Jeo Na,bn,Bangla Film,Melancholy Playback,Manna Dey,0,1,0
Pratidhwani Suni,bn,Adhunik Bangla,Romantic Modern,Bhupen Hazarika,0,1,0
Ke Jay Amritadhamjatri,bn,Rabindra Sangeet,Tagore Classic,Ritu Guha,0,1,0
Badal Kalo Ghirlo Go,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Baro Asha Kare,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Onek Khujechi Khuje Payine,bn,Bangla Film,Romantic Playback,Mohammad Aziz,1,0,0
Aar Nai Je Deri,bn,Rabindra Sangeet,Tagore Classic,Chinmoy Chatterjee,1,0,0
Rai Jago Rai Jago Bole,bn,Bangla Folk,Polli Geeti,Amar Pal,0,1,0
"Ogo Kangal, Amare Kangal Karechho",bn,Rabindra Sangeet,Tagore Classic,Ritu Guha,0,1,0
Eto Kachhe Dujane,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Amra Korbo Joy,bn,Bangla Patriotic,Inspirational Anthem,Bhupen Hazarika|Chorus,1,0,0
E Jiban Premeri Ek Patabahar Kabita,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Megh Aar Kuyashay Hok,bn,Bangla Film,Duet Playback,Kishore Kumar|Aarti Mukherji,0,0,0
Amar Bela Je Jai,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Badhu Kon Alo (Part 2),bn,Rabindra Sangeet,Tagore Nature,Arundhati Holme Chowdhury,0,1,0
Shudhu Jaoya Aasa,bn,Rabindra Sangeet,Tagore Classic,Arundhati Holme Chowdhury,1,0,0
Chanchal Mon Anmona Hoy,bn,Bangla Film,Duet Playback,Lata Mangeshkar|Hemant Kumar,0,0,0
Bhola Mon Moner Katha,bn,Adhunik Bangla,Romantic Modern,Shyamal Mitra,0,1,0
Amar Andhar Bhubane,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Banshi Keno Hai,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Hey Priyotama Ami To Tomay,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
"Sakhi, Bhabana Kahare Bale",bn,Rabindra Sangeet,Tagore Romantic,Sumitra Sen,0,1,0
Klaanti Aamaar Kshamaa Koro,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,0,0,0
Tunhu Mamo Monpran Hey (Stereo),bn,Bangla Film,Romantic Playback,Sandhya Mukherjee,0,1,0
Jabo Ki Jabo Na,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Dekhe Elam Ruper Agun,bn,Bangla Film,Romantic Playback,Manna Dey,0,1,0
E Ki Holo,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Gharete Bhramar Elo,bn,Rabindra Sangeet,Tagore Classic,Sumitra Sen,0,1,0
Ma Tui Amay Daya Korbi Ki Na Bal,bn,Devotional,Spiritual,Manna Dey,1,1,0
Aaj Bikeler Dake Tomar Chithi,bn,Adhunik Bangla,Romantic Modern,Banasree Sengupta,0,1,0
Aaro Bhalo Hoto,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,1,0
Tumi Je Amar,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Amar Khela Jakhon Chhilo Tomar Sane,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,1,0
Shono Ei To Samay,bn,Bangla Film,Romantic Playback,R. D. Burman,1,0,0
Ami Gun Kormu Ekjonare,bn,Devotional,Bhajan,Anuradha Paudwal,1,0,0
Nibhrita Praner,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,0,1,0
Dinguli Mor Sonar Khanchay Roilo Na,bn,Adhunik Bangla,Romantic Modern,Dwijen Mukherjee,1,0,0
Keno Dure Thako,bn,Bangla Film,Melancholy Playback,Hemant Kumar,0,1,0
Jabar Belay Pichhu Theke,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Tomake Shonate E Gaan,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,1,0
Akash Keno Daake,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Jani Jani Tumi Esechho E Pathe,bn,Adhunik Bangla,Romantic Modern,Sudeshna Chatterjee,1,0,0
Hey Mor Debota,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,1,0,0
Jodi Baran Karo Tabe Gabo Na,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,0,0
Ami Jani Na,bn,Bangla Film,Duet Playback,Asha Bhosle|Abhijeet Bhattacharya,0,1,0
Aaro Kachakachi,bn,Bangla Film,Duet Playback,Kishore Kumar|Asha Bhosle,1,0,0
Ogo Abar Natun Kore,bn,Bangla Film,Romantic Playback,Mukesh,0,1,0
Deep Nibhey Gechhey,bn,Rabindra Sangeet,Tagore Classic,Indrani Sen,0,1,0
Mon Mor Megher Sangi,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
Aachhey Dukkha,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,0,1,0
Saat Sakaale,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,0,0
Jakhan Ami Anek Dure,bn,Bangla Film,Melancholy Playback,Kishore Kumar,0,1,0
Prano Bhariye Trisha Hariye,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,1,0,0
Mor Bhabonare (Female),bn,Rabindra Sangeet,Tagore Classic,SAHANA BAJPEI,0,0,0
Hai Re Poda Banshi,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,1,0
Tomar Oi Dhupchhaya Rang,bn,Adhunik Bangla,Romantic Modern,Shyamal Mitra,0,1,0
Je Chhilo Amar Swapancharini,bn,Adhunik Bangla,Romantic Modern,Srikanto Acharya,0,1,0
Dinguli Mor,bn,Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas,1,0,0
Mora Dujonai Rajar Jamai,bn,Children's Music,Fantasy Song,Anup Ghoshal,0,1,0
Amay Nahe Go,bn,Nazrul Geeti,Nazrul Romantic,Feroza Begum,0,1,0
Naam Dhore Kejano,bn,Bangla Film,Romantic Playback,Alka Yagnik,1,0,0
Shai Pakhitar,bn,Bangla Film,Romantic Playback,Alka Yagnik,0,1,0
Deko Naa Aamarey,bn,Rabindra Sangeet,Tagore Classic,Indrani Sen,1,0,0
O Amar Pran Sajani (Champabothi Kanya),bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Phote Je Rakta Golap,bn,Bangla Film,Romantic Playback,Kishore Kumar,1,0,0
Bhulo Na Pratham Se Din,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,1,0,0
Jadi Akash Hoto Ankhi,bn,Bangla Film,Romantic Playback,Aarti Mukherji,0,1,0
Tung Tung Tung,bn,Adhunik Bangla,Romantic Modern,C.L.T.,0,1,0
Habuchandra Raja,bn,Children's Music,Fantasy Song,Antara Chwdhury,1,0,0
E Mon Amar Hariye Jay,bn,Bangla Film,Melancholy Playback,Asha Bhosle,0,0,0
Rangiye Diye Jao,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,1,0
Tomar Kaache Jabo,bn,Bangla Film,Romantic Playback,Alka Yagnik,0,1,0
Sei Raate Raat Chhilo Purnima,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,0,1,0
Jafrani Rang Akashe,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Tomar Pujar Chhaley,bn,Rabindra Sangeet,Tagore Devotional,Debabrata Biswas,0,1,0
Shyam Roop Dhariya,bn,Adhunik Bangla,Romantic Modern,S. D. Burman,1,0,0
O Jhar Jhar Jharna,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,0,0
"Madhur, Tomar Shesh Jey Na Pai",bn,Rabindra Sangeet,Tagore Classic,Indrani Sen,1,0,0
Kar Milano Chao Birahi,bn,Rabindra Sangeet,Tagore Classic,Indrani Sen,0,0,0
Pran Chay Chokkhu Na Chay,bn,Rabindra Sangeet,Tagore Classic,Sagar Sen,0,1,0
Amar Ga Chhamchham Kare,bn,Bangla Film,Duet Playback,Asha Bhosle|Bappi Lahiri,1,0,0
Esse Chhile Tobu,bn,Rabindra Sangeet,Tagore Classic,Debabrata Biswas,0,1,0
Ore Mon Pakhi,bn,Bangla Film,Romantic Playback,Lata Mangeshkar,0,1,0
Bare Bare Ke Jeno Dake,bn,Adhunik Bangla,Romantic Modern,Manabendra Mukherjee,0,0,0
Beshi Ki Boli Jakhon Boli,bn,Bangla Film,Duet Playback,Bappi Lahiri|Asha Bhosle,1,0,-1
Chalo Chole Jai Haate Haat Rekhe,bn,Bangla Film,Duet Playback,Asha Bhosle|R. D. Burman,1,0,0
Bandha Moner Duar Diyechhi,bn,Bangla Film,Romantic Playback,Asha Bhosle,1,0,0
Haowa Megh Saraye Phul Jharaye,bn,Bangla Film,Romantic Playback,Kishore Kumar,0,1,0
Khukumani Go Sonaa,bn,Children's Music,Children's Song,Antara Chwdhury|Sabita Chowdhury,1,0,0
Diner Shese Ghumer Deshe,bn,Bangla Film,Romantic Playback,Hemant Kumar,0,1,0
Tari Amar Hathat Dubey Jai,bn,Rabindra Sangeet,Tagore Classic,Indrani Sen,0,1,0
Ami Tomay Jato Shuniyechhilem Gaan,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
Tomar Dake Sara Dite,bn,Bangla Film,Romantic Playback,Aarti Mukherji,0,1,0
Ki Je Bhabi Elomelo,bn,Bangla Film,Romantic Playback,Asha Bhosle,0,1,0
Ekta Gaan Likho Amar Janyo,bn,Adhunik Bangla,Romantic Modern,Pratima Banerjee,1,0,0
Ei Agune Haat Rakho,bn,Adhunik Bangla,Romantic Modern,Nachiketa Chakraborty,1,0,0
Ami To Tomar Chirodiner Hnasi Kannar Sathi,bn,Adhunik Bangla,Romantic Modern,Nirmal Mishra,0,1,0
Dekte Dekte Din Chole,bn,Bangla Film,Romantic Playback,Mahendra Kapoor,0,0,0
Amio Pather Mato,bn,Bangla Film,Romantic Playback,Hemant Kumar,1,0,0
